"","binSent[, 1]","binSent[, 2]","binSent[, 5]","SentimentLM","binSent[, 12]"
"1",78,"positive","positive","positive","positive"
"2",110,"positive","positive","positive","positive"
"3",9,"positive","positive","positive","positive"
"4",44,"positive","positive","positive","positive"
"5",40,"positive","positive","positive","positive"
"6",188,"positive","positive","positive","positive"
"7",146,"positive","positive","positive","positive"
"8",25,"positive","positive","positive","positive"
"9",34,"positive","positive","positive","positive"
"10",18,"positive","positive","positive","positive"
"11",28,"positive","positive","positive","positive"
"12",31,"positive","positive","positive","positive"
"13",39,"positive","positive","positive","positive"
"14",53,"positive","positive","positive","positive"
"15",105,"positive","positive","positive","positive"
"16",66,"positive","negative","negative","negative"
"17",127,"negative","positive","positive","positive"
"18",32,"positive","positive","positive","positive"
"19",96,"positive","positive","positive","positive"
"20",64,"positive","positive","positive","positive"
"21",57,"positive","positive","positive","positive"
"22",8,"positive","positive","positive","positive"
"23",14,"positive","positive","positive","positive"
"24",56,"negative","positive","negative","negative"
"25",28,"positive","positive","positive","positive"
"26",95,"positive","positive","positive","positive"
"27",88,"positive","positive","negative","positive"
"28",58,"positive","positive","positive","positive"
"29",90,"positive","positive","positive","positive"
"30",22,"positive","positive","positive","positive"
"31",66,"positive","positive","positive","positive"
"32",29,"positive","positive","positive","positive"
"33",152,"positive","positive","positive","positive"
"34",29,"positive","positive","positive","positive"
"35",53,"positive","positive","positive","positive"
"36",106,"negative","positive","positive","positive"
"37",105,"positive","positive","positive","positive"
"38",12,"positive","positive","positive","positive"
"39",29,"positive","positive","positive","positive"
"40",43,"positive","positive","positive","positive"
"41",64,"positive","positive","positive","positive"
"42",57,"positive","positive","negative","positive"
"43",12,"positive","positive","positive","positive"
"44",16,"positive","positive","positive","positive"
"45",64,"positive","positive","positive","positive"
"46",22,"positive","positive","negative","positive"
"47",18,"positive","positive","negative","positive"
"48",38,"positive","positive","positive","positive"
"49",15,"positive","positive","positive","positive"
"50",338,"positive","positive","positive","positive"
"51",161,"positive","positive","positive","positive"
"52",21,"negative","positive","negative","negative"
"53",81,"positive","positive","positive","positive"
"54",66,"positive","positive","negative","positive"
"55",110,"positive","positive","positive","positive"
"56",452,"positive","positive","negative","positive"
"57",177,"positive","positive","negative","positive"
"58",44,"positive","positive","negative","positive"
"59",22,"positive","positive","negative","positive"
"60",71,"positive","positive","positive","positive"
"61",45,"negative","positive","positive","positive"
"62",49,"positive","positive","negative","positive"
"63",74,"positive","positive","negative","positive"
"64",54,"positive","positive","positive","positive"
"65",51,"positive","positive","positive","positive"
"66",30,"positive","positive","positive","positive"
"67",33,"positive","positive","negative","positive"
"68",20,"positive","positive","positive","positive"
"69",13,"positive","positive","positive","positive"
"70",47,"positive","positive","positive","positive"
"71",44,"positive","positive","positive","positive"
"72",83,"positive","positive","negative","positive"
"73",61,"positive","positive","positive","positive"
"74",155,"positive","positive","positive","positive"
"75",100,"positive","negative","negative","positive"
"76",28,"positive","positive","positive","positive"
"77",93,"positive","positive","positive","positive"
"78",25,"positive","positive","positive","positive"
"79",25,"positive","positive","positive","positive"
"80",15,"positive","positive","negative","positive"
"81",202,"positive","positive","positive","positive"
"82",88,"positive","positive","positive","positive"
"83",223,"positive","positive","positive","positive"
"84",46,"positive","positive","positive","positive"
"85",227,"positive","positive","positive","positive"
"86",29,"positive","positive","positive","positive"
"87",99,"positive","positive","positive","positive"
"88",55,"positive","positive","negative","positive"
"89",32,"positive","positive","positive","positive"
"90",46,"positive","positive","positive","positive"
"91",44,"positive","negative","negative","positive"
"92",33,"positive","negative","positive","positive"
"93",47,"positive","positive","negative","positive"
"94",29,"positive","positive","positive","positive"
"95",34,"positive","positive","positive","positive"
"96",6,"positive","positive","positive","positive"
"97",26,"positive","positive","positive","positive"
"98",6,"positive","positive","negative","positive"
"99",40,"positive","positive","positive","positive"
"100",139,"positive","positive","positive","positive"
"101",66,"positive","positive","positive","positive"
"102",8,"positive","positive","positive","positive"
"103",51,"positive","positive","positive","positive"
"104",130,"positive","positive","positive","positive"
"105",15,"positive","positive","positive","positive"
"106",78,"negative","positive","negative","negative"
"107",47,"positive","positive","positive","positive"
"108",48,"negative","negative","positive","negative"
"109",20,"negative","positive","positive","positive"
"110",126,"positive","negative","negative","positive"
"111",27,"negative","positive","negative","positive"
"112",54,"positive","positive","positive","positive"
"113",118,"positive","positive","negative","positive"
"114",137,"positive","positive","positive","positive"
"115",26,"positive","positive","positive","positive"
"116",114,"positive","positive","positive","positive"
"117",53,"positive","positive","positive","positive"
"118",30,"positive","positive","positive","positive"
"119",14,"positive","positive","positive","positive"
"120",58,"positive","positive","positive","positive"
"121",21,"positive","positive","positive","positive"
"122",108,"positive","negative","positive","positive"
"123",23,"positive","positive","positive","positive"
"124",141,"positive","positive","positive","positive"
"125",42,"positive","positive","positive","positive"
"126",40,"positive","positive","positive","positive"
"127",98,"positive","positive","positive","positive"
"128",3,"positive","positive","positive","positive"
"129",36,"positive","positive","positive","positive"
"130",99,"positive","positive","negative","positive"
"131",38,"negative","positive","positive","negative"
"132",76,"negative","positive","negative","positive"
"133",8,"positive","positive","positive","positive"
"134",40,"positive","positive","positive","positive"
"135",50,"positive","positive","positive","positive"
"136",6,"positive","positive","positive","positive"
"137",19,"negative","positive","negative","negative"
"138",128,"positive","positive","negative","positive"
"139",66,"positive","positive","positive","positive"
"140",5,"positive","positive","positive","positive"
"141",23,"negative","negative","negative","negative"
"142",106,"positive","positive","positive","positive"
"143",87,"positive","negative","negative","positive"
"144",28,"positive","positive","positive","positive"
"145",85,"positive","negative","negative","positive"
"146",8,"positive","positive","positive","positive"
"147",115,"positive","positive","negative","positive"
"148",42,"positive","positive","positive","positive"
"149",23,"negative","negative","negative","negative"
"150",22,"positive","positive","positive","positive"
"151",58,"negative","positive","positive","positive"
"152",76,"positive","positive","positive","positive"
"153",134,"positive","positive","positive","positive"
"154",25,"positive","positive","negative","positive"
"155",95,"positive","positive","positive","positive"
"156",95,"positive","positive","positive","positive"
"157",32,"positive","positive","positive","positive"
"158",30,"positive","positive","positive","positive"
"159",11,"positive","positive","positive","positive"
"160",29,"positive","positive","positive","positive"
"161",60,"negative","negative","negative","negative"
"162",106,"positive","positive","negative","positive"
"163",19,"positive","negative","negative","positive"
"164",139,"positive","positive","negative","positive"
"165",68,"positive","positive","positive","positive"
"166",2,"positive","positive","positive","positive"
