Measure Names,Time,Value
Control,3/10/2019 13:00,34
Control,3/10/2019 13:05,34
Control,3/10/2019 13:10,34
Control,3/10/2019 13:15,34
Control,3/10/2019 13:20,34
Control,3/10/2019 13:30,34
Control,3/10/2019 13:35,34
Control,3/10/2019 13:40,34
Control,3/10/2019 13:45,34
Control,3/10/2019 13:50,34
Control,3/10/2019 13:55,34
Control,3/10/2019 14:00,34
Control,3/10/2019 14:05,34
Control,3/10/2019 14:10,34
Control,3/10/2019 14:15,34
Control,3/10/2019 14:20,34
Control,3/10/2019 14:25,34
Control,3/10/2019 14:30,34
Control,3/10/2019 14:35,34
Control,3/10/2019 14:40,34
Control,3/10/2019 14:45,34
Control,3/10/2019 14:50,34
Control,3/10/2019 14:55,34
Control,3/10/2019 15:00,34
Control,3/10/2019 15:05,34
Control,3/10/2019 15:10,34
Control,3/10/2019 15:15,34
Control,3/10/2019 15:20,34
Control,3/10/2019 15:25,34
Control,3/10/2019 15:30,34
Control,3/10/2019 15:35,34
Control,3/10/2019 15:40,34
Control,3/10/2019 15:45,34
Control,3/10/2019 15:50,34
Control,3/10/2019 15:55,34
Control,3/10/2019 16:00,34
Control,3/10/2019 16:05,34
Control,3/10/2019 16:10,34
Control,3/10/2019 16:15,34
Control,3/10/2019 16:20,34
Control,3/10/2019 16:25,34
Control,3/10/2019 16:30,34
Control,3/10/2019 16:35,34
Control,3/10/2019 16:40,34
Control,3/10/2019 16:45,34
Control,3/10/2019 16:50,34
Control,3/10/2019 16:55,34
Control,3/10/2019 17:00,34
Control,3/10/2019 17:05,34
Control,3/10/2019 17:10,34
Control,3/10/2019 17:15,34
Control,3/10/2019 17:20,34
Control,3/10/2019 17:25,34
Control,3/10/2019 17:30,34
Control,3/10/2019 17:35,34
Control,3/10/2019 17:40,34
Control,3/10/2019 17:45,34
Control,3/10/2019 17:50,34
Control,3/10/2019 17:55,34
Control,3/10/2019 18:00,34
Control,3/10/2019 18:05,34
Control,3/10/2019 18:10,34
Control,3/10/2019 18:15,34
Control,3/10/2019 18:20,34
Control,3/10/2019 18:25,34
Control,3/10/2019 18:30,34
Control,3/10/2019 18:35,34
Control,3/10/2019 18:40,34
Control,3/10/2019 18:45,34
Control,3/10/2019 18:50,34
Control,3/10/2019 18:55,34
Control,3/10/2019 19:00,34
Control,3/10/2019 19:05,34
Control,3/10/2019 19:10,34
Control,3/10/2019 19:15,34
Control,3/10/2019 19:20,34
Control,3/10/2019 19:25,34
Control,3/10/2019 19:30,34
Control,3/10/2019 19:35,34
Control,3/10/2019 19:40,34
Control,3/10/2019 19:45,34
Control,3/10/2019 19:50,34
Control,3/10/2019 19:55,34
Control,3/10/2019 20:00,34
Control,3/10/2019 20:05,34
Control,3/10/2019 20:10,34
Control,3/10/2019 20:15,34
Control,3/10/2019 20:20,34
Control,3/10/2019 20:25,34
Control,3/10/2019 20:30,34
Control,3/10/2019 20:35,34
Control,3/10/2019 20:40,34
Control,3/10/2019 20:45,34
Control,3/10/2019 20:50,34
